"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
694671,"Langford, Wyatt",1214,0.9066467513069455,915,"73.083677158",0.28418451400329486,0.34863387978142074,0.2627677100494234,0.1726775956284153,0.1301482701812191,"6.987033896",14,-15.508206019887846,299,0.24629324546952225,447,0.36820428336079075
665742,"Soto, Juan",1355,0.899734395750332,1119,"73.080339823",0.35793357933579334,0.40840035746201964,0.3372693726937269,0.2511170688114388,0.207380073800738,"7.046579018",60,25.16794369578712,236,0.17416974169741697,623,0.45977859778597785
679529,"Torkelson, Spencer",1659,0.9080459770114943,1237,"73.06386381",0.2579867389993971,0.2974939369442199,0.2218203737191079,0.1471301535974131,0.10970464135021098,"7.766129741",29,-39.28580200359121,422,0.2543701024713683,566,0.3411693791440627
700250,"Rice, Ben",1375,0.9075907590759076,1099,"73.042289964",0.2996363636363637,0.3776160145586897,0.3018181818181818,0.21929026387625114,0.17527272727272727,"7.464330982",23,10.781995340773994,276,0.20072727272727273,577,0.41963636363636364
686555,"Collins, Isaac",1103,0.9055829228243021,879,"73.020505594",0.26926563916591106,0.3083048919226394,0.2456935630099728,0.14448236632536973,0.11514052583862194,"6.730661759",33,-18.840195820939073,224,0.20308250226654578,444,0.40253853127833183
666139,"Lowe, Josh",1258,0.9037356321839081,911,"72.99601655",0.3203497615262322,0.2601536772777168,0.18839427662957076,0.09989023051591657,0.07233704292527822,"7.370275246",19,-47.15944194386762,347,0.2758346581875994,379,0.30127186009538953
671277,"García Jr., Luis",1429,0.906150919467343,1167,"72.880715836",0.31560531840447875,0.363324764353042,0.2967109867039888,0.1868037703513282,0.15255423372988103,"7.400453632",26,0.34292578345948144,262,0.18334499650104968,626,0.43806857942617217
669357,"Gorman, Nolan",1107,0.9014657980456026,723,"72.841539973",0.2673893405600724,0.28077455048409405,0.18337850045167117,0.1396957123098202,0.09123757904245709,"7.560187922",25,-38.2201532194599,384,0.34688346883468835,317,0.2863595302619693
676475,"Burleson, Alec",1491,0.9036363636363637,1240,"72.747386519",0.2991281019450034,0.3774193548387097,0.31388329979879276,0.19112903225806452,0.158953722334004,"7.499259175",17,-3.836675725576793,251,0.16834339369550638,669,0.448692152917505
681624,"Pages, Andy",1816,0.9003470500743679,1469,"72.73704962",0.2439427312775331,0.2995234853641933,0.2422907488986784,0.13818924438393465,0.11178414096916299,"7.800187753",43,-7.264377836082366,347,0.191079295154185,699,0.3849118942731278
